# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 4830532933
#
# Overhead  Command          Shared Object            Symbol                            
# ........  ...............  .......................  ..................................
#
     0.02%  min_priority_qu  [kernel.kallsyms]        [k] mas_walk
     0.02%  min_priority_qu  [kernel.kallsyms]        [k] ptep_clear_flush
     0.02%  min_priority_qu  [kernel.kallsyms]        [k] p4d_offset
     0.02%  min_priority_qu  [kernel.kallsyms]        [k] __get_vma_policy
     0.02%  min_priority_qu  [kernel.kallsyms]        [k] __mod_memcg_lruvec_state
     0.02%  min_priority_qu  [kernel.kallsyms]        [k] cgroup_rstat_updated
     0.00%  perf-exec        [kernel.kallsyms]        [k] perf_event_exec
     0.00%  perf-exec        [kernel.kallsyms]        [k] native_apic_msr_write
     0.00%  perf-exec        [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
